command,mean,stddev,median,user,system,min,max
matmul_run,0.7154675620000001,0.23472501660156497,0.806131747,0.001448,0.00401681818181818,0.253220565,1.000269464
matmul_clang_O1_run_baseline,0.9068691118000002,0.2195961004141675,0.845548988,0.0029786,0.0298429,0.6814949760000001,1.49782319
matmul_clang_O3_run_baseline,0.8146479974,0.12568529605127196,0.7965500625,0.0025502,0.025290299999999998,0.605819169,1.083175491
matmul_gcc_O3_run_baseline,0.8843856536000002,0.2284403747829374,0.8268178130000001,0.0031877000000000003,0.026789799999999996,0.5660073870000001,1.338536484
prime_sieve_run,0.009207674542016805,0.0007115648572321325,0.009157505,0.006220617647058825,0.0022186596638655463,0.006385362,0.012589639000000001
prime_sieve_clang_O1_run_baseline,0.008286658293893134,0.0007312580760065371,0.008304959,0.005079492366412213,0.0024575381679389314,0.0056578620000000005,0.011430959000000001
prime_sieve_clang_O3_run_baseline,0.007843322864516127,0.0007143343769716257,0.007866737,0.004685111827956989,0.002433275268817205,0.005300194,0.011680353000000001
prime_sieve_gcc_O3_run_baseline,0.008049451966867474,0.0006121667337997545,0.0080029155,0.004825581325301205,0.0024524638554216864,0.005821958,0.010597344
mandelbort_run,0.5173270548,0.0016547510163376215,0.517716295,0.5118411999999999,0.0019604,0.5146169820000001,0.519777406
mandelbort_clang_O1_run_baseline,0.44344871720000006,0.016110013879435888,0.43995398150000004,0.4349258999999999,0.002359,0.43029159600000005,0.488198532
mandelbort_clang_O3_run_baseline,0.43423034560000007,0.002324521900543563,0.43447161050000005,0.42880330000000005,0.0020376,0.43059915400000004,0.437797547
mandelbort_gcc_O3_run_baseline,0.4179655468000001,0.0024707464750772386,0.4182549795,0.4128508,0.0017425,0.41193449000000004,0.42051549200000005
fib_run,0.10315194174193551,0.0030315258743252504,0.103786451,0.1007938064516129,0.0008826451612903227,0.09451425000000001,0.107893419
fib_clang_O1_run_baseline,0.0704030761860465,0.0021344393681673487,0.070937606,0.06715458139534883,0.0019091162790697675,0.064544531,0.076752603
fib_clang_O3_run_baseline,0.07060958531707318,0.0018963328126720465,0.071028256,0.06718253658536584,0.0020995853658536587,0.063429963,0.07307851700000001
fib_gcc_O3_run_baseline,0.04219468546666669,0.001919932129609087,0.042337528,0.03916324444444444,0.0018138666666666667,0.033266288000000005,0.046105596000000006
lu_decomp_run,0.23841863625000004,0.002822704430973122,0.23854658750000002,0.23025275,0.005475083333333333,0.23201919000000001,0.242087503
lu_decomp_clang_O1_run_baseline,0.15027715563157895,0.0016383135664817096,0.150051718,0.1438062105263158,0.004534631578947368,0.14785451700000002,0.15468858500000002
lu_decomp_clang_O3_run_baseline,0.12874405304545455,0.0025803543385160867,0.1283827915,0.12240572727272729,0.0044839090909090905,0.12494592600000001,0.135778761
lu_decomp_gcc_O3_run_baseline,0.12963073,0.0023807059985162748,0.13026976,0.12312130434782607,0.004672217391304349,0.12144971,0.13253298200000002
