command,mean,stddev,median,user,system,min,max
prime_sieve_run,0.003884529856466876,0.0005224222104813392,0.0038359530000000005,0.0024216309148264985,0.0012847365930599363,0.00272785,0.00587629
prime_sieve_clang_O1_run_baseline,0.0027751777260825775,0.00044254969816491415,0.0027201150000000004,0.0012927653575025189,0.0013281077542799601,0.001863676,0.005002227000000001
prime_sieve_clang_O3_run_baseline,0.002595298391592917,0.00043070837480509226,0.002549997,0.0010404719764011798,0.0014022013274336282,0.00168709,0.004282538000000001
prime_sieve_gcc_O3_run_baseline,0.002510647024074075,0.000414170972770314,0.0024900325000000003,0.0009966027777777782,0.0013670435185185192,0.0016374760000000001,0.004384382
fib_run,0.058239963333333346,0.0009825049827975768,0.05809831,0.05662317647058826,0.0008941176470588233,0.057069793,0.061767702
fib_clang_O1_run_baseline,0.02180101993650793,0.000903913323837128,0.021742012,0.020334285714285718,0.001100388888888889,0.020368544000000002,0.02427696
fib_clang_O3_run_baseline,0.021891157900709213,0.0008174612350776494,0.021884578000000002,0.020257460992907806,0.0012819645390070922,0.020453085000000003,0.024228859000000002
fib_gcc_O3_run_baseline,0.010840319447183102,0.0006778145231168539,0.0107825355,0.009554947183098591,0.001050179577464789,0.009444901,0.013437688000000001
mandelbort_run,0.12880698499999998,0.001113205865762035,0.12896364500000002,0.12619373913043477,0.001428,0.127360194,0.131821292
mandelbort_clang_O1_run_baseline,0.11762919391999999,0.0008805201268326154,0.11765016,0.11514123999999999,0.00139492,0.11595506500000001,0.119244473
mandelbort_clang_O3_run_baseline,0.11718255000000002,0.0008735959902778299,0.11696998600000001,0.11491428000000002,0.0011545199999999998,0.11586288,0.11898032200000001
mandelbort_gcc_O3_run_baseline,0.10251717032142857,0.001771807288639025,0.10210985850000001,0.10023324999999995,0.0012745714285714287,0.10097038600000001,0.109938299
matmul_run,0.10095255928571427,0.008634833541560975,0.1010464575,0.0012630714285714283,0.0017962500000000003,0.079888993,0.11778748700000001
matmul_clang_O1_run_baseline,0.116389306875,0.007588917959918416,0.1170438725,0.0010692083333333333,0.014626374999999999,0.10168998500000001,0.129283013
matmul_clang_O3_run_baseline,0.11153200866666665,0.008786108134492616,0.111947478,0.0012834074074074072,0.014392259259259257,0.095078305,0.129220721
matmul_gcc_O3_run_baseline,0.1147498321923077,0.006952434607748455,0.1139321585,0.0010830000000000002,0.013926769230769227,0.101667768,0.128281205
lu_decomp_run,0.10699145975,0.001510032736427962,0.10706489150000001,0.10278467857142856,0.0030839285714285717,0.10463106300000001,0.110542055
lu_decomp_clang_O1_run_baseline,0.06813815604761904,0.001130245030355462,0.068028142,0.06408364285714287,0.003215261904761905,0.066202751,0.070799808
lu_decomp_clang_O3_run_baseline,0.03108755959770116,0.0012570685740852805,0.030746883000000003,0.027362735632183895,0.003195540229885055,0.029155125,0.036443805
lu_decomp_gcc_O3_run_baseline,0.031192571836956513,0.0011118437680826402,0.031028864500000003,0.027525565217391308,0.0031240434782608697,0.029012015000000002,0.034967997
